158.0,0,史对照再现晚晴风云变幻国家民族存亡的时代变局！荣获第三届国家图书奖、第十届中国图书奖获奖作品！旷代逸才，帝师王佐！一曲近代知识分子探索救国之道的悲歌！,出版时间:2017年07月,民主与建设出版社,国际标准书号ISBN：9787513909976,历史,杨度（全3册）唐浩明亲自修订，2017年全新精装珍藏版,小说,唐浩明博集天卷,79.0,http://img3m1.ddimg.cn/92/5/25087781-1_w_2.jpg,5ee96c0a360d930a489db242
5ee96c0b360d930a489db243,小说,历史,0
49.8,0,70后的成长史 一代人的心灵史 第九届茅盾文学奖前十提名作品 斩获二十余项文学大奖,出版时间:2017年10月,北京十月文艺出版社,国际标准书号ISBN：9787530217221,历史,耶路撒冷,小说,徐则臣,49.8,http://img3m6.ddimg.cn/57/6/25230306-1_w_2.jpg,5ee96c0c360d930a489db244
138.0,0,（中国王牌剧作家刘和平超越之作，电视剧《北平无战事》原著小说，讲述中国命运转折关口的史诗巨作，五周年修订）,出版时间:2019年08月,花城出版社,国际标准书号ISBN：9787536088986,历史,北平无战事(全三册)(签名钤印本 刘和平 原著历史小说 谍战 五周年修订 珍藏版 央视,小说,刘和平,117.5,http://img3m0.ddimg.cn/80/4/27940850-1_w_3.jpg,5ee96c0c360d930a489db245
5ee96c0d360d930a489db246,小说,历史,0
188.0,0,当代口碑较好的历史小说，被誉为“中国版《战争与和平》”；国画大家刘旦宅23幅插图；书籍设计大师吕敬人先生指导设计；著名作家二月河先生、孙皓晖先生联合推荐。,出版时间:2016年10月,河南文艺出版社,国际标准书号ISBN：9787555903086,历史,茅盾文学奖获奖作品：金瓯缺（套装全4卷）,小说,徐兴业刘旦宅,160.1,http://img3m2.ddimg.cn/87/3/24044712-1_w_6.jpg,5ee96c0e360d930a489db247
48.0,0,邓超首部担纲男主角的电视剧同名历史小说！长销不衰的茅盾文学奖获奖作品，作者深厚的艺术功力，使小说呈现出独特的艺术魅力。,出版时间:2016年03月,长江文艺出版社,国际标准书号ISBN：9787535483799,历史,少年天子（长篇历史小说经典书系）,小说,凌力,44.0,http://img3m2.ddimg.cn/21/22/23912382-1_w_2.jpg,5ee96c0f360d930a489db248
110.0,0,看风云际会，春秋五霸争问鼎；看纵横捭阖，战国七雄竞逐鹿。伟大的人物，铸就伟大的时代！春秋的思想、战国的计谋，至今依然深刻地影响着每一个中国人的思维方式和生活习惯。,出版时间:2016年06月,长江文艺出版社,国际标准书号ISBN：9787535488244,历史,春秋战国：全三册（长篇历史小说经典书系）,小说,胡晓明胡晓晖,100.7,http://img3m2.ddimg.cn/93/34/23989872-1_w_6.jpg,5ee96c10360d930a489db249
429.8,0,火遍全球的20世纪人类史诗！全球每3秒卖出一本！首次登陆中国。全球读者平均3个通宵读完，和主人公一起横穿一战、二战、冷战直到迎来和平 ！我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。读客熊猫君出品,出版时间:2017年05月,江苏文艺出版社,国际标准书号ISBN：25077211,历史,世纪三部曲：巨人的陨落+世界的凛冬+永恒的边缘（套装共3本）（全球读者平均三个通宵读完，和主人公一起横穿一战、二战、冷战直到迎来和平）,小说,肯·福莱特Follett读客文化,421.2,http://img3m1.ddimg.cn/16/17/25077211-1_w_11.jpg,5ee96c11360d930a489db24a
39.0,0,,出版时间:2014年01月,广西师范大学出版社,国际标准书号ISBN：9787549549733,历史,大唐李白·少年游(李白，改变了唐诗，却错过了时代；而整个大唐，又怎么错过了他？一个身为星宿、发为仙音，却只剩下名字的诗人；一个号称盛世，却以虚荣摧残着诗的时代),小说,张大春,37.4,http://img3m1.ddimg.cn/20/21/23399561-1_w_1.jpg,5ee96c12360d930a489db24b
138.0,0,“人世间的风霜雪雨，大部分被普通老百姓承受了”,出版时间:2018年11月,译林出版社,国际标准书号ISBN：9787544773454,历史,伪满洲国（茅盾文学奖作家迟子建重现伪满洲国历史的扛鼎之作）,小说,迟子建,135.1,http://img3m2.ddimg.cn/73/27/25579792-1_w_8.jpg,5ee96c13360d930a489db24c
